listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-aldoarfoznevogilde-0000,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,51,167218,3279,bati_habitable,EUR,nacional,86,4.26,41.16282,-8.61786,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0012,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,84,266580,3174,bati_habitable,EUR,nacional,58,5.75,41.13669,-8.61073,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0013,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,118,461920,3915,bati_habitable,EUR,nacional,115,5.83,41.16549,-8.62505,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0014,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,113,324792,2874,bati_habitable,EUR,nacional,63,4.95,41.15907,-8.61321,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0015,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,58,234479,4043,bati_habitable,EUR,nacional,81,5.2,41.16875,-8.61951,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0016,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,56,194339,3470,bati_habitable,EUR,nacional,141,4.99,41.16845,-8.61612,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0017,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,106,486217,4587,bati_habitable,EUR,nacional,83,4.84,41.17185,-8.62773,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0018,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,116,559488,4823,bati_habitable,EUR,nacional,98,3.98,41.17638,-8.61291,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0019,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,66,261410,3961,bati_habitable,EUR,nacional,92,4.88,41.1626,-8.58867,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0020,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,92,338249,3677,bati_habitable,EUR,nacional,54,4.75,41.15798,-8.6174,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0021,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,51,240434,4714,bati_habitable,EUR,nacional,48,4.29,41.1747,-8.61558,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0022,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,121,394403,3260,bati_habitable,EUR,nacional,113,6.06,41.16414,-8.64684,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0023,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,71,330842,4660,bati_habitable,EUR,nacional,49,4.94,41.19502,-8.61203,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0024,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T4,apartment,4,230,872035,3791,bati_habitable,EUR,nacional,160,4.43,41.14052,-8.62351,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0025,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T4,apartment,4,147,656387,4465,bati_habitable,EUR,nacional,66,5.34,41.18539,-8.62287,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0026,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,49,206030,4205,bati_habitable,EUR,nacional,98,5.39,41.16898,-8.63421,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0027,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,37,144516,3906,bati_habitable,EUR,nacional,105,4.48,41.17136,-8.6249,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0028,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T4,apartment,4,173,981581,5674,bati_habitable,EUR,estrangeiro,75,4.06,41.17101,-8.63598,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0029,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,111,368017,3315,bati_habitable,EUR,nacional,74,4.18,41.1573,-8.60225,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0030,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,62,206826,3336,bati_habitable,EUR,nacional,111,5.7,41.14118,-8.62469,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0031,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,119,576679,4846,bati_habitable,EUR,nacional,63,5.39,41.18013,-8.60061,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0032,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,71,313348,4413,bati_habitable,EUR,nacional,84,4.83,41.17621,-8.62241,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0033,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,154,740167,4806,bati_habitable,EUR,estrangeiro,111,4.96,41.1755,-8.61392,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0034,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,101,344018,3406,bati_habitable,EUR,nacional,105,5.76,41.17616,-8.62854,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0035,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,116,534238,4605,bati_habitable,EUR,nacional,117,3.66,41.16918,-8.6402,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0036,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,99,404639,4087,bati_habitable,EUR,nacional,75,3.84,41.13843,-8.61605,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0037,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,59,244722,4148,bati_habitable,EUR,estrangeiro,88,5.16,41.15152,-8.61813,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0038,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,120,369908,3083,bati_habitable,EUR,nacional,53,5.78,41.16094,-8.63264,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0039,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,64,230350,3599,bati_habitable,EUR,nacional,89,5.1,41.15033,-8.59344,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0040,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,137,589884,4306,bati_habitable,EUR,estrangeiro,38,6.18,41.1827,-8.61909,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0041,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,57,200445,3517,bati_habitable,EUR,nacional,86,5.31,41.15564,-8.61188,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0042,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,111,339855,3062,bati_habitable,EUR,nacional,62,4.84,41.141,-8.62247,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0043,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,54,235465,4360,bati_habitable,EUR,nacional,54,5.17,41.13156,-8.58768,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0044,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,87,512781,5894,bati_habitable,EUR,nacional,58,4.47,41.15879,-8.62376,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0045,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,101,385460,3816,bati_habitable,EUR,nacional,70,5.36,41.16786,-8.59554,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0046,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,93,414467,4457,bati_habitable,EUR,nacional,53,4.22,41.18005,-8.6143,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0047,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,59,242761,4115,bati_habitable,EUR,nacional,93,5.7,41.17493,-8.60579,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0048,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,137,742145,5417,bati_habitable,EUR,nacional,75,4.59,41.17077,-8.61617,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0049,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,64,262681,4104,bati_habitable,EUR,nacional,64,5.68,41.13295,-8.62765,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0050,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,89,394691,4435,bati_habitable,EUR,nacional,103,5.64,41.17133,-8.60635,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0051,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,66,253957,3848,bati_habitable,EUR,nacional,50,5.5,41.16835,-8.62211,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0052,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,64,270091,4220,bati_habitable,EUR,estrangeiro,65,4.64,41.16321,-8.63118,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0053,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,110,409000,3718,bati_habitable,EUR,estrangeiro,99,4.97,41.16566,-8.62039,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0054,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,109,410719,3768,bati_habitable,EUR,nacional,84,4.66,41.16867,-8.63118,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0055,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,96,407227,4242,bati_habitable,EUR,nacional,51,4.93,41.17364,-8.6011,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0056,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,73,213041,2918,bati_habitable,EUR,nacional,89,5.43,41.1266,-8.63835,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0057,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,61,213167,3495,bati_habitable,EUR,nacional,64,4.66,41.18436,-8.62891,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0058,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,110,478839,4353,bati_habitable,EUR,nacional,88,4.48,41.15236,-8.60317,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0059,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,51,220500,4324,bati_habitable,EUR,nacional,62,4.17,41.18257,-8.60822,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0060,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,118,378502,3208,bati_habitable,EUR,nacional,89,5.02,41.17808,-8.59862,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0061,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,72,308195,4280,bati_habitable,EUR,nacional,162,5.19,41.16609,-8.62165,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0062,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,70,323263,4618,bati_habitable,EUR,nacional,122,5.38,41.16237,-8.62714,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0063,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,94,403938,4297,bati_habitable,EUR,nacional,57,3.77,41.15796,-8.65233,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0064,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,52,235563,4530,bati_habitable,EUR,nacional,43,4.8,41.15939,-8.62966,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0065,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,49,232771,4750,bati_habitable,EUR,estrangeiro,68,5.7,41.17206,-8.6164,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0066,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,106,539552,5090,bati_habitable,EUR,nacional,62,4.55,41.15232,-8.61541,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0067,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,73,263142,3605,bati_habitable,EUR,nacional,56,5.02,41.14976,-8.62396,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0068,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T4,apartment,4,171,767030,4486,bati_habitable,EUR,nacional,61,5.32,41.15821,-8.63359,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0069,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,88,312774,3554,bati_habitable,EUR,nacional,50,4.61,41.16731,-8.61294,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
