listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-arcozelo-0000,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,148,286285,1934,bati_habitable,EUR,nacional,89,5.25,41.12477,-8.60607,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0013,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,129,251868,1952,bati_habitable,EUR,nacional,86,4.66,41.10724,-8.62261,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0014,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,66,215507,3265,bati_habitable,EUR,nacional,127,5.23,41.10332,-8.6264,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0015,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,104,189960,1827,bati_habitable,EUR,nacional,71,4.84,41.10292,-8.59778,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0016,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,97,208507,2150,bati_habitable,EUR,nacional,30,4.7,41.13131,-8.59901,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0017,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,68,188676,2775,bati_habitable,EUR,estrangeiro,80,4.27,41.14713,-8.62219,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0018,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,135,354432,2625,bati_habitable,EUR,nacional,61,4.59,41.1383,-8.61439,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0019,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,123,197671,1607,bati_habitable,EUR,nacional,96,5.52,41.1177,-8.62075,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0020,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,146,409758,2807,bati_habitable,EUR,nacional,96,5.48,41.12945,-8.62158,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0021,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,123,408854,3324,bati_habitable,EUR,nacional,92,4.11,41.10588,-8.60122,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0022,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,53,114334,2157,bati_habitable,EUR,nacional,101,3.92,41.12421,-8.603,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0023,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,139,309802,2229,bati_habitable,EUR,nacional,54,4.82,41.11588,-8.61664,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0024,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,74,184874,2498,bati_habitable,EUR,nacional,70,5.66,41.1098,-8.61598,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0025,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,69,165010,2391,bati_habitable,EUR,estrangeiro,93,5.25,41.13239,-8.59482,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0026,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,89,193727,2177,bati_habitable,EUR,nacional,105,4.77,41.11777,-8.61619,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0027,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,97,282710,2915,bati_habitable,EUR,nacional,89,6.02,41.13239,-8.60106,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0028,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,93,233811,2514,bati_habitable,EUR,nacional,72,5.62,41.12252,-8.61222,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0029,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,98,215789,2202,bati_habitable,EUR,nacional,62,5.03,41.12196,-8.59847,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0030,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,76,206975,2723,bati_habitable,EUR,nacional,33,5.69,41.12224,-8.59522,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0031,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,162,378990,2339,bati_habitable,EUR,nacional,63,4.64,41.13113,-8.6245,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0032,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,47,143087,3044,bati_habitable,EUR,estrangeiro,103,3.99,41.12118,-8.60827,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0033,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,76,137828,1814,bati_habitable,EUR,nacional,60,4.25,41.12483,-8.58667,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0034,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,96,272667,2840,bati_habitable,EUR,nacional,53,5.12,41.11974,-8.60455,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0035,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,113,255786,2264,bati_habitable,EUR,nacional,57,5.1,41.11802,-8.60968,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0036,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,119,282744,2376,bati_habitable,EUR,estrangeiro,59,3.78,41.12428,-8.62064,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0037,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,72,133643,1856,bati_habitable,EUR,nacional,78,5.16,41.12647,-8.59892,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0038,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,60,142940,2382,bati_habitable,EUR,estrangeiro,83,4.78,41.12205,-8.61417,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0039,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,87,180968,2080,bati_habitable,EUR,nacional,104,5.07,41.11414,-8.6144,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0040,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,75,195046,2601,bati_habitable,EUR,nacional,130,5.74,41.09278,-8.62148,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0041,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,66,150689,2283,bati_habitable,EUR,nacional,41,4.77,41.12192,-8.5931,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0042,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,50,129535,2591,bati_habitable,EUR,nacional,65,5.21,41.12502,-8.61511,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0043,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,75,172674,2302,bati_habitable,EUR,estrangeiro,116,5.96,41.09084,-8.62508,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0044,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,74,202714,2739,bati_habitable,EUR,nacional,109,5.25,41.11493,-8.62094,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0045,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,107,302503,2827,bati_habitable,EUR,nacional,40,4.93,41.1255,-8.61886,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0046,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,110,279526,2541,bati_habitable,EUR,nacional,126,3.92,41.12279,-8.60592,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0047,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,90,137838,1532,bati_habitable,EUR,nacional,67,5.16,41.12478,-8.6106,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0048,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,80,237140,2964,bati_habitable,EUR,nacional,38,4.48,41.12048,-8.61859,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0049,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,45,103311,2296,bati_habitable,EUR,nacional,68,5.12,41.12593,-8.61871,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0050,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,85,191697,2255,bati_habitable,EUR,nacional,55,4.7,41.14088,-8.59645,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0051,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,80,194368,2430,bati_habitable,EUR,nacional,38,5.16,41.14929,-8.62243,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0052,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,54,114658,2123,bati_habitable,EUR,nacional,128,6.11,41.12494,-8.63359,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0053,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,51,122772,2407,bati_habitable,EUR,nacional,81,5.38,41.12107,-8.64593,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0054,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,78,187170,2400,bati_habitable,EUR,nacional,101,5.2,41.14607,-8.61568,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0055,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,58,165507,2854,bati_habitable,EUR,nacional,120,4.72,41.13078,-8.6379,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0056,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,90,239507,2661,bati_habitable,EUR,estrangeiro,70,4.8,41.09928,-8.58565,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0057,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,88,201423,2289,bati_habitable,EUR,nacional,66,4.55,41.12059,-8.64629,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0058,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,45,79313,1763,bati_habitable,EUR,nacional,108,4.44,41.14055,-8.60227,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0059,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,70,156171,2231,bati_habitable,EUR,nacional,70,6.2,41.12054,-8.60543,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0060,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,99,199818,2018,bati_habitable,EUR,nacional,43,5.31,41.12882,-8.61645,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0061,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,60,116259,1938,bati_habitable,EUR,nacional,62,6.68,41.13841,-8.60939,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0062,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,70,177009,2529,bati_habitable,EUR,estrangeiro,67,4.62,41.1232,-8.63645,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0063,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,57,129895,2279,bati_habitable,EUR,nacional,112,5.89,41.12023,-8.61645,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0064,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,74,154925,2094,bati_habitable,EUR,estrangeiro,87,5.22,41.13678,-8.57943,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0065,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,44,92995,2114,bati_habitable,EUR,nacional,114,4.03,41.1142,-8.60502,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0066,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,98,287886,2938,bati_habitable,EUR,nacional,50,4.9,41.11852,-8.59985,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0067,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,101,220252,2181,bati_habitable,EUR,nacional,86,4.84,41.10813,-8.57636,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0068,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,175,285535,1632,bati_habitable,EUR,estrangeiro,71,5.21,41.12518,-8.63082,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0069,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,81,199042,2457,bati_habitable,EUR,estrangeiro,40,5.83,41.111,-8.59753,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0070,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,141,390170,2767,bati_habitable,EUR,nacional,41,4.98,41.15714,-8.58381,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0071,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,83,158878,1914,bati_habitable,EUR,nacional,59,4.24,41.13406,-8.60133,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0072,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,65,201327,3097,bati_habitable,EUR,nacional,117,5.36,41.10656,-8.60555,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0073,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,117,194116,1659,bati_habitable,EUR,nacional,41,6.19,41.13271,-8.601,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0074,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,58,110057,1898,bati_habitable,EUR,estrangeiro,60,5.2,41.14265,-8.63297,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0075,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,67,127819,1908,bati_habitable,EUR,nacional,52,5.14,41.1202,-8.6136,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0076,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,65,128464,1976,bati_habitable,EUR,nacional,76,4.85,41.1333,-8.62514,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0077,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,85,197136,2319,bati_habitable,EUR,nacional,42,4.76,41.14934,-8.62379,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0078,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T1,apartment,1,54,192229,3560,bati_habitable,EUR,nacional,46,5.13,41.11871,-8.60877,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0079,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,155,289682,1869,bati_habitable,EUR,nacional,70,5.12,41.12397,-8.59333,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0080,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,168,368170,2191,bati_habitable,EUR,nacional,47,4.57,41.11363,-8.6078,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0081,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,107,328069,3066,bati_habitable,EUR,nacional,70,4.53,41.11282,-8.63037,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0082,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,130,226232,1740,bati_habitable,EUR,nacional,52,4.77,41.13431,-8.63311,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
