listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-ajuda-0000,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,113,602459,5331,bati_habitable,EUR,nacional,110,5.15,38.73112,-9.16166,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0013,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,71,288467,4063,bati_habitable,EUR,nacional,92,4.1,38.74337,-9.17175,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0014,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,83,367112,4423,bati_habitable,EUR,nacional,141,4.63,38.72055,-9.14657,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0015,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,176,956642,5435,bati_habitable,EUR,nacional,80,5.48,38.72117,-9.14222,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0016,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,67,352128,5256,bati_habitable,EUR,nacional,93,5.49,38.73351,-9.1385,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0017,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,112,546754,4882,bati_habitable,EUR,nacional,54,5.03,38.73489,-9.12365,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0018,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,47,258757,5505,bati_habitable,EUR,nacional,46,5.71,38.72464,-9.147,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0019,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,128,618415,4831,bati_habitable,EUR,nacional,78,4.71,38.72679,-9.12564,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0020,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,49,276994,5653,bati_habitable,EUR,nacional,79,4.38,38.73928,-9.13633,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0021,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,124,667327,5382,bati_habitable,EUR,estrangeiro,88,4.73,38.7011,-9.13963,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0022,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,56,211281,3773,bati_habitable,EUR,nacional,124,5.28,38.74038,-9.14434,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0023,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,105,442209,4212,bati_habitable,EUR,nacional,84,4.87,38.72219,-9.14108,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0024,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,77,313726,4074,bati_habitable,EUR,estrangeiro,53,4.64,38.71403,-9.13085,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0025,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,66,326952,4954,bati_habitable,EUR,nacional,77,5.78,38.7273,-9.10675,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0026,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,74,363741,4915,bati_habitable,EUR,nacional,79,4.72,38.70316,-9.11937,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0027,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,80,432013,5400,bati_habitable,EUR,nacional,68,5.51,38.71839,-9.12777,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0028,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,54,330663,6123,bati_habitable,EUR,nacional,71,4.71,38.72508,-9.13104,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0029,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,88,532599,6052,bati_habitable,EUR,nacional,106,5.17,38.73299,-9.12348,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0030,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,62,415706,6705,bati_habitable,EUR,nacional,78,5.01,38.70931,-9.14767,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0031,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,62,262137,4228,bati_habitable,EUR,nacional,49,4.65,38.70585,-9.14439,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0032,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,107,441825,4129,bati_habitable,EUR,nacional,59,4.91,38.72246,-9.15572,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0033,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,47,184883,3934,bati_habitable,EUR,nacional,72,4.15,38.75224,-9.14122,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0034,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,82,453747,5534,bati_habitable,EUR,nacional,92,5.33,38.72858,-9.14071,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0035,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,79,406688,5148,bati_habitable,EUR,estrangeiro,107,5.17,38.72235,-9.13677,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0036,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,100,447244,4472,bati_habitable,EUR,nacional,61,3.63,38.6976,-9.14618,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0037,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,62,204659,3301,bati_habitable,EUR,nacional,98,5.02,38.72351,-9.13772,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0038,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,45,256732,5705,bati_habitable,EUR,nacional,84,5.29,38.7532,-9.1772,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0039,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,201,842726,4193,bati_habitable,EUR,nacional,74,4.81,38.71921,-9.14182,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0040,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,137,639618,4669,bati_habitable,EUR,nacional,46,4.22,38.71998,-9.10943,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0041,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,98,342570,3496,bati_habitable,EUR,estrangeiro,149,4.64,38.72954,-9.1393,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0042,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,77,284800,3699,bati_habitable,EUR,nacional,73,4.4,38.7108,-9.12934,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0043,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,66,323322,4899,bati_habitable,EUR,nacional,48,4.8,38.71594,-9.13761,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0044,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,81,358780,4429,bati_habitable,EUR,nacional,52,6.73,38.72677,-9.13616,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0045,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,49,250015,5102,bati_habitable,EUR,nacional,57,4.34,38.72566,-9.1163,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0046,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,110,599476,5450,bati_habitable,EUR,nacional,64,4.45,38.7051,-9.1414,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0047,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,127,599143,4718,bati_habitable,EUR,nacional,96,5.21,38.74136,-9.14459,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0048,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,84,324504,3863,bati_habitable,EUR,nacional,75,3.86,38.73993,-9.18351,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0049,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,117,608494,5201,bati_habitable,EUR,nacional,60,3.78,38.72437,-9.15562,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0050,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,76,363597,4784,bati_habitable,EUR,estrangeiro,73,4.57,38.71737,-9.14683,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0051,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,50,242157,4843,bati_habitable,EUR,estrangeiro,57,5.09,38.72268,-9.12714,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0052,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,99,725707,7330,bati_habitable,EUR,estrangeiro,58,4.12,38.71862,-9.12022,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0053,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,97,518925,5350,bati_habitable,EUR,nacional,62,3.6,38.73499,-9.11693,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0054,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,129,478178,3707,bati_habitable,EUR,nacional,56,4.54,38.73239,-9.13594,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0055,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,117,391417,3345,bati_habitable,EUR,nacional,96,5.54,38.71912,-9.13921,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0056,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,80,402655,5033,bati_habitable,EUR,estrangeiro,98,5.15,38.71888,-9.14411,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0057,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,81,444724,5490,bati_habitable,EUR,nacional,106,4.27,38.68962,-9.12707,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0058,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,45,196519,4367,bati_habitable,EUR,nacional,120,5.31,38.73792,-9.1153,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0059,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,90,370424,4116,bati_habitable,EUR,nacional,193,4.04,38.71336,-9.13939,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0060,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,55,230907,4198,bati_habitable,EUR,nacional,76,4.71,38.71863,-9.13511,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0061,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,71,374901,5280,bati_habitable,EUR,estrangeiro,46,5.02,38.7499,-9.10373,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0062,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,128,671128,5243,bati_habitable,EUR,nacional,102,4.56,38.72604,-9.12046,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0063,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,71,246999,3479,bati_habitable,EUR,estrangeiro,130,4.15,38.72283,-9.12774,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0064,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,61,278173,4560,bati_habitable,EUR,nacional,47,4.58,38.70917,-9.16631,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0065,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,89,487585,5478,bati_habitable,EUR,nacional,75,4.22,38.73406,-9.14673,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0066,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,175,939222,5367,bati_habitable,EUR,estrangeiro,66,4.92,38.6891,-9.14999,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0067,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,133,923743,6945,bati_habitable,EUR,nacional,57,4.63,38.71744,-9.1102,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0068,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,51,212256,4162,bati_habitable,EUR,nacional,93,4.9,38.71267,-9.10971,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0069,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,72,313526,4355,bati_habitable,EUR,nacional,61,4.98,38.72145,-9.15345,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0070,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,112,412086,3679,bati_habitable,EUR,nacional,67,5.08,38.71273,-9.137,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0071,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,90,417273,4636,bati_habitable,EUR,nacional,76,4.53,38.751,-9.1476,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0072,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,101,473673,4690,bati_habitable,EUR,nacional,91,4.55,38.7052,-9.11509,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0073,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,138,593043,4297,bati_habitable,EUR,estrangeiro,137,4.84,38.74441,-9.14929,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0074,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,91,322080,3539,bati_habitable,EUR,nacional,52,4.61,38.69819,-9.1395,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0075,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,111,447455,4031,bati_habitable,EUR,nacional,32,4.57,38.73144,-9.12466,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0076,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,87,631443,7258,bati_habitable,EUR,nacional,41,4.38,38.73667,-9.1345,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0077,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,155,770872,4973,bati_habitable,EUR,nacional,58,4.7,38.72205,-9.14871,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0078,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,114,499294,4380,bati_habitable,EUR,nacional,89,4.32,38.72178,-9.15762,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0079,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,75,319697,4263,bati_habitable,EUR,nacional,90,5.3,38.70194,-9.1248,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0080,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,78,459078,5886,bati_habitable,EUR,nacional,77,3.8,38.72504,-9.12322,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0081,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,72,267986,3722,bati_habitable,EUR,nacional,52,4.73,38.73151,-9.15555,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0082,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,44,172532,3921,bati_habitable,EUR,nacional,67,3.63,38.74272,-9.15519,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
